combine	dd	mar
511700_159632	9.228724911992407	6.443974278748491
511700_159659	8.94455167214432	6.443974278748491
511700_159660	9.018927219909438	6.443974278748491
511700_159696	8.241849364227289	6.443974278748491
511700_159941	6.945594393014002	39.84672402519314
511700_161130	14.457939957914046	10.794149526214545
511700_270042	18.598352687572252	16.683566092041527
511700_513100	7.084551464966234	52.08694414485644
511700_513110	9.304966512927258	6.443974278748491
511700_513290	7.7134897381682705	6.443974278748491
511700_513300	9.766681382924338	7.6121429210643825
511700_513390	9.161813576906225	6.443974278748491
511700_513870	8.347148078805143	6.443974278748491
511860_000055	13.854406949108162	17.090124186623783
511860_000834	16.45830735550227	14.147016031101952
511860_003722	12.247710065099845	14.217375293358442
511860_006479	10.90466068269257	10.535012751382107
511860_006480	10.759489329323205	13.995756084540584
511860_008971	6.8690886879915	6.466126260787119
511860_012870	7.287910763105766	8.86336992999305
511860_012871	6.9411173353123035	9.543821286265906
511860_014978	7.559683441422557	7.29393139256582
511860_015299	7.535267199595243	7.378320048965703
511860_015300	7.489330569187958	7.391079949260693
511860_015518	7.111171694775159	8.595896395805774
511860_016055	7.7000850594485195	6.466126260787119
511860_016056	7.4965284546049435	7.089770143302693
511860_016057	7.652070892992663	6.466126260787119
511860_016058	7.449768696590746	7.118489252676976
511860_016532	7.775568869213255	6.466126260787119
511860_016533	7.7328639615481904	6.466126260787119
511860_016534	7.658406590452984	6.466126260787119
511860_016535	7.617043593850763	6.466126260787119
511860_017091	8.784328039463697	6.466126260787119
511860_017092	8.692168199795756	6.466126260787119
511860_017093	8.713922651151023	6.466126260787119
511860_017894	6.4556409663546654	6.466126260787119
511860_017895	6.43601979256261	6.466126260787119
511860_017951	6.377387108525171	6.466126260787119
511860_017952	6.377387108525171	6.466126260787119
511860_018966	6.747419362509485	6.466126260787119
511860_018967	6.715794647103464	6.466126260787119
511860_018968	6.7972802276751825	6.466126260787119
511860_018969	6.7972802276751825	6.466126260787119
511860_019118	7.606612136374326	6.466126260787119
511860_019524	6.725489815330128	6.466126260787119
511860_019525	6.70286775613458	6.466126260787119
511860_019547	6.58283233999494	6.466126260787119
511860_019548	6.556978558057171	6.466126260787119
511860_021773	6.027666196451008	6.466126260787119
511860_021838	6.145845394872047	6.466126260787119
511860_022664	5.91681883515406	6.466126260787119
511860_024237	5.983427782492569	6.466126260787119
511860_040046	19.021704650222638	16.606941488160267
511860_040047	17.004577709023515	19.965215737644275
511860_040048	17.004577709023515	19.965215737644275
511860_159501	7.163619084239817	6.466126260787119
511860_159509	7.682541421705033	6.466126260787119
511860_159513	6.7478810371869455	6.466126260787119
511860_159632	7.981014100683025	6.466126260787119
511860_159659	7.734941497596762	6.466126260787119
511860_159660	7.799345115102452	6.466126260787119
511860_159696	7.126454272704273	6.466126260787119
511860_159941	6.390544836832783	39.83470090086848
511860_161130	12.509120121980718	10.849072225313144
511860_270042	17.887358452169074	16.711760811974436
511860_513100	6.778731802795747	52.05514100105826
511860_513110	8.047033579559827	6.466126260787119
511860_513290	6.668934667341259	6.466126260787119
511860_513300	8.446843850240322	7.705301375277529
511860_513390	7.9230739286617755	6.466126260787119
511860_513870	7.217635021502655	6.466126260787119
